CategoryID,Category Path
175778,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Uomo: abbigliamento vintage > Felpe e tute"
182046,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Uomo: abbigliamento vintage > Giacche da completo e blazer"
175782,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Uomo: abbigliamento vintage > Gilet"
175773,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Uomo: abbigliamento vintage > Jeans"
175774,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Uomo: abbigliamento vintage > Maglioni e cardigan"
175779,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Uomo: abbigliamento vintage > Mare e piscina"
175780,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Uomo: abbigliamento vintage > Pantaloni"
175781,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Uomo: abbigliamento vintage > T-shirt"
163628,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Uomo: scarpe vintage"
179324,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento erotico > Altro abbigliamento erotico"
179312,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento erotico > Bondage"
179321,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento erotico > Costumi erotici donna"
179322,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento erotico > Costumi erotici uomo"
179319,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento erotico > Intimo donna > Altro intimo donna"
179315,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento erotico > Intimo donna > Body e tutine"
179318,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento erotico > Intimo donna > Collant e autoreggenti"
179316,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento erotico > Intimo donna > Corsetti"
